"","question_text","answer_text","questionId","question_type","question_file","answer_file"
"1","Which animals are born pregnant and can give birth 10 days after being born themselves?","Aphids","AN_01","Animal","165_q.wav","165_a.wav"
"2","What are German shepherds called in Great Britain, due to lingering anti-german sentiment following World War II?","Alsatians","AN_02","Animal","003_q.wav","003_a.wav"
"3","What animal can live up to a week without its head?","Cockroach","AN_03","Animal","132_q.wav","132_a.wav"
"4","Besides the platypus, what's the only egg-laying mammal?","Echidna","AN_04","Animal","098_q.wav","098_a.wav"
"5","Who is the world's oldest (non-human) primate on record?","A chimp born in 1943","AN_05","Animal","252_q.wav","252_a.wav"
"6","A dog mainly sweats through which part of its body?","Paw pads","AN_06","Animal","067_q.wav","067_a.wav"
"7","How far can a skunk spray?","About 15 feet","AN_06","Animal","101_q.wav","101_a.wav"
"8","How long does it take a sloth to digest a meal?","About two weeks","AN_06","Animal","164_q.wav","164_a.wav"
"9","Which animals swallow large stones, which remain in their bellies and are thought to be used as ballasts for diving?","Crocodiles","AN_07","Animal","153_q.wav","153_a.wav"
"10","How long are elephants pregant for before they give birth?","22 Months","AN_08","Animal","278_q.wav","278_a.wav"
"11","Which poisonous snake smells like fresh cut cucumbers?","Copperhead snake","AN_09","Animal","130_q.wav","130_a.wav"
"12","What animal is combined with a serpent to make the mythical creature the Cockatrice?","Rooster","AN_10","Animal","005_q.wav","005_a.wav"
"13","What color is the tongue of the giraffe?","Purple","AN_11","Animal","064_q.wav","064_a.wav"
"14","What invisible """"color"""" can bees see on flower petals?","Bee purple","AN_12","Animal","196_q.wav","196_a.wav"
"15","Which animal's poison could kill up to 2,200 people?","Poison-arrow frog","AN_13","Animal","019_q.wav","019_a.wav"
"16","What pet bird takes its name from Australian Aborigine words for """"good eating""""?","The budgerigar","AN_14","Animal","255_q.wav","255_a.wav"
"17","Which animal can go longer without water than a camel can?","Rat","AN_15","Animal","056_q.wav","056_a.wav"
"18","In which animal species does the father keep the eggs in his mouth until they are ready to hatch?","Catfish","AN_16","Animal","264_q.wav","264_a.wav"
"19","Which breed of dog bites humans more than any other?","German Shepherd","AN_17","Animal","230_q.wav","230_a.wav"
"20","Which mammal is the world's smallest, weighing less than a penny?","Bumblebee bat","AN_18","Animal","144_q.wav","144_a.wav"
"21","What animal transmits the disease typanosomiasis to humans and cattle?","Tse-tse fly","AN_19","Animal","065_q.wav","065_a.wav"
